"","LAT","LONG","seasonal","tempWarmest","tempColdest","preciWettest","preciDriest","preciCV","PAR_SPRING","growingL","conseqCold","conseqFrFree","RelHumidSp","dayLSp","aridity"
"6236",62.9617,18.36,8685,204,-131,74,37,24,74.995834,6,43.9,96.62,86.811302,13.8688,1.39600003
"6235",62.9611,18.3589,8685,204,-131,74,37,24,74.995834,6,43.9,96.62,86.811302,13.8688,1.39600003
"6220",62.806,18.1896,8626,204,-126,76,39,24,74.995834,6,37.6,112.09,88.130798,13.7902,1.442
"6218",63.0172,18.3283,8705,208,-127,72,36,25,66.597221,6,43.9,96.62,88.130798,13.8688,1.41400003
"6217",63.0169,18.3283,8705,208,-127,72,36,25,66.597221,6,43.9,96.62,88.130798,13.8688,1.41400003
"6216",63.0167,18.3283,8705,208,-127,72,36,25,66.597221,6,43.9,96.62,88.130798,13.8688,1.41400003
"6215",63.0172,18.3281,8705,208,-127,72,36,25,66.597221,6,43.9,96.62,88.130798,13.8688,1.41400003
"6214",63.0175,18.3281,8705,208,-127,72,36,25,66.597221,6,43.9,96.62,88.130798,13.8688,1.41400003
"6210",62.8839,18.1836,8572,207,-124,73,37,25,74.995834,6,37.6,112.09,88.130798,13.869099,1.39499998
"6209",62.8836,18.1842,8572,207,-124,73,37,25,74.995834,6,37.6,112.09,88.130798,13.869099,1.39499998
"6207",55.7711,14.1217,6144,199,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6201",55.7719,14.1211,6144,199,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6200",55.7714,14.1214,6144,199,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6199",55.7711,14.1206,6144,199,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6198",55.7708,14.1331,6129,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6197",55.7714,14.1333,6129,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6195",55.7708,14.1342,6140,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6194",55.7706,14.1342,6140,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6193",55.7694,14.1347,6140,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6192",55.7692,14.1369,6140,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6191",55.7689,14.1375,6140,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6189",55.7686,14.1383,6140,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"6163",62.6425,17.7356,8376,196,-129,78,41,23,68.158333,6,30.55,126.17,75.657897,13.7902,1.403
"6154",62.6422,17.7406,8376,196,-129,78,41,23,68.158333,6,30.55,126.17,75.657897,13.7902,1.403
"8264",41.6833,2.8,5312,276,53,108,27,33,95.711113,10,0.12,271.82,73.542098,12.715499,0.70499998
"8265",48,19,7536,243,-63,84,40,24,78.762497,8,21.36,191.86,73.644401,12.9052,0.86199999
"7256",50.95,7.5,5835,215,-19,86,57,13,68.619446,8,15.54,89.41,77.934097,13.001199,1.227
"366",46.6667,4.11667,6050,246,-6,81,49,17,80.318054,9,8.52,184.64,81.849998,12.8695,0.963
"5245",51.2,0.6,4804,217,11,71,41,19,71.040276,10,3.44,103.07,80.103698,13.020299,1.18200004
"5264",51.3,1.1,4758,212,14,68,37,18,71.040276,12,3.48,111.54,79.939697,13.0205,1.24100006
"7195",50.95,6.9666,5943,235,-8,83,52,17,68.619446,9,11.67,171.92,82.069503,13.001199,1.19400001
"7210",52.7333,15.2333,7826,246,-51,70,28,27,68.877777,8,21.78,191.97,77.703598,13.082799,0.77399999
"7246",50.8167,8.7667,6317,230,-24,71,45,12,68.24028,8,16.98,186.76,78.895401,13.000599,1.06500006
"7268",52.6969,10.981,6366,227,-25,66,35,19,66.222221,8,17.21,143.48,79.576202,13.0831,0.99199998
"7262",50.5,8.5,6322,227,-25,70,46,11,68.24028,9,18.89,191.02,78.895401,13.0009,1.04200006
"7238",41.59,2.49,5347,268,47,99,36,24,95.711113,10,0.09,298.29,64.327903,12.715499,0.71399999
"7250",51.9183,10.1138,6114,218,-28,82,47,19,66.611115,8,18.03,155.82,77.153999,13.040599,1.29100001
"7265",50,10,6718,238,-34,74,38,18,74.022224,8,17.1,181.34,80.331703,12.9806,1.05700004
"5719",54.1,-6.2,3889,190,17,98,61,16,59.719444,9,2.63,189.2,83.420196,13.1281,2.33599997
"5798",53.1,-3.3,4388,190,3,94,51,20,68.306946,9,3.69,206.01,81.814498,13.0836,2.02200007
"5816",52,-1.7,4646,205,-1,64,39,13,65.756943,9,7.51,186.21,79.384803,13.0409,1.21800005
"5821",56.7333,-5.98333,3898,166,4,222,89,29,60.950001,8,3.79,148.96,83.463401,13.246999,4.62099981
"5715",51.1,0.6,4833,214,9,76,44,20,71.040276,10,3.44,103.07,80.11,13.020299,1.23000002
"5720",53.3,-1.6,4654,193,-4,109,68,14,62.997223,8,8.24,138.81,79.317001,13.1055,1.82000005
"5820",55.9,-3.3,4210,187,-3,78,46,16,63.013889,8,5.81,41.33,81.058998,13.2227,1.40799999
"5737",51.3,0.1,4879,216,2,72,46,15,71.040276,10,5.46,219.83,78.472,13.020199,1.29799998
"5755",51.3,1.1,4758,212,14,68,37,18,71.040276,12,3.48,111.54,79.939697,13.0205,1.24100006
"5782",53.698649,-2.965934,4643,196,1,96,51,21,68.306946,9,2.91,224.86,81.6427,13.128999,1.53100002
"5784",56.4,-5.2,4391,182,-1,226,92,29,60.950001,8,5.87,82.25,83.167503,13.2468,5.83400011
"5146",52.2,-1.7,4588,209,4,60,38,12,64.487503,9,6.58,170.58,80.791,13.0618,1.097
"5133",52.2,-1.7,4588,209,4,60,38,12,64.487503,9,6.58,170.58,80.791,13.0618,1.097
"5709",54.6,-2.6,4582,189,-7,108,59,21,60.227779,8,10.26,99.69,80.364997,13.1538,2.21700001
"5795",53.2,-1.7,4657,199,1,103,66,14,62.997223,8,8.24,138.81,79.468696,13.1055,2.20000005
"5750",54.6,-3.1,4535,184,-10,117,63,22,60.227779,8,5.12,207.64,80.364997,13.152799,6.41300011
"5749",54.6,-3.1,4535,184,-10,117,63,22,60.227779,8,5.12,207.64,80.364997,13.152799,6.41300011
"5780",53.1,-1,4862,213,4,58,43,8,62.997223,9,5.68,37.71,81.268302,13.083,1.18900001
"5756",52.2,0.8,4869,205,-6,56,33,12,66.523613,9,4.75,96.95,80.451896,13.061499,1.01300001
"5723",51.3,1,4806,209,8,72,42,17,71.040276,12,3.48,111.54,80.103698,13.0205,1.19700003
"5717",54.6,-3.2,4523,183,-9,118,64,21,60.227779,8,5.12,207.64,80.364997,13.152799,6.56699991
"5804",50.8,-1.1,4768,221,12,91,47,23,79.26667,12,2.55,230.6,79.894897,13.000399,1.18700004
"5752",55.7,-3.8,4281,178,-10,123,64,22,63.013889,8,6.03,93.34,81.058998,13.197999,2.08599997
"5799",56.000421,-3.404258,4352,192,1,71,40,17,61.448612,8,4.9,160.4,81.974197,13.222,1.71899998
"5713",51.3,0.5,4780,218,10,67,39,17,71.040276,10,3.41,177.22,80.103698,13.020299,1.17299998
"5728",51.3,1.1,4758,212,14,68,37,18,71.040276,12,3.48,111.54,79.939697,13.0205,1.24100006
"5787",54.8,-3.2,4457,190,-1,100,53,21,60.227779,8,5.31,190.28,81.520797,13.1765,3.79099989
"5788",50.8,-2,4461,212,11,91,45,22,79.26667,12,2.41,42.24,80.032302,13.001099,1.34800005
"5793",51.3,0.6,4872,210,2,72,44,17,71.040276,10,3.41,177.22,77.992301,13.020299,1.18200004
"5803",51.7,-4.7,4280,191,21,110,55,25,82.154167,13,2.09,234.08,81.858802,13.040599,1.69299996
"5758",50.3,-5.2,4177,190,20,136,59,30,77.316666,14,1.34,142.41,78.408798,12.9806,2.13499999
"8274",29.2144,-13.4811,2657,266,120,37,0,87,123.738892,1,0,364.49,59.271198,12.4468,0.102
"7034",48,19,7536,243,-63,84,40,24,78.762497,8,21.36,191.86,73.644401,12.9052,0.86199999
"6899",49,11,6747,224,-48,95,46,25,76.699997,8,19.05,163.71,80.7714,12.9425,1.19500005
"6173",62.8717,18.3419,8650,203,-130,75,38,24,74.995834,6,40.96,110.77,86.811302,13.8688,1.39600003
"6284",55.5796,14.3336,6075,201,-19,62,32,21,79.0625,8,21.5,204.83,70.9589,13.196999,0.98299998
"6276",55.5796,14.3336,6075,201,-19,62,32,21,79.0625,8,21.5,204.83,70.9589,13.196999,0.98299998
"6258",55.5796,14.3336,6075,201,-19,62,32,21,79.0625,8,21.5,204.83,70.9589,13.196999,0.98299998
"6252",55.5796,14.3336,6075,201,-19,62,32,21,79.0625,8,21.5,204.83,70.9589,13.196999,0.98299998
"6255",55.5796,14.3336,6075,201,-19,62,32,21,79.0625,8,21.5,204.83,70.9589,13.196999,0.98299998
"6166",62.6425,17.7372,8376,196,-129,78,41,23,68.158333,6,30.55,126.17,75.657897,13.7902,1.403
"6085",55.7097,13.2145,6182,200,-30,69,36,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.13800001
"6025",62.6437,17.7339,8376,196,-129,78,41,23,68.158333,6,30.55,126.17,75.657897,13.7902,1.403
"6268",55.5796,14.3336,6075,201,-19,62,32,21,79.0625,8,21.5,204.83,70.9589,13.196999,0.98299998
"6180",62.6322,17.6906,8352,198,-128,77,40,23,68.158333,6,25.43,122.48,74.726997,13.7902,1.403
"6041",56.0328,14.775,6220,205,-26,65,34,20,70.53611,7,25.12,205.67,71.120597,13.220999,0.96600002
"5829",55.3838,14.0612,6141,202,-21,62,32,20,79.0625,8,18.58,188.39,71.308601,13.196999,0.97100002
"8427",56.0648,13.9707,6234,204,-30,71,36,21,72.743057,7,19.11,164.5,71.525199,13.2213,1.18499994
"8218",62.877,18.177,8592,205,-126,74,38,24,74.995834,6,37.6,112.09,88.130798,13.869099,1.39499998
"6023",55.7509,13.3712,6160,202,-27,69,36,22,71.57222,8,17.9,158.41,71.525199,13.199299,1.17200005
"5835",63.324,18.484,8845,206,-137,72,35,25,66.597221,6,48.31,86.62,86.811302,13.8688,1.34800005
"5831",56.3333,15.9667,6495,211,-31,62,32,21,70.53611,7,27.94,164.21,72.152702,13.2213,0.92500001
"5830",56.3333,15.9667,6495,211,-31,62,32,21,70.53611,7,27.94,164.21,72.152702,13.2213,0.92500001
"6086",58.9,11.2,6663,199,-40,91,39,27,73.202774,7,23.82,212.91,81.865196,13.3745,1.35099995
"6413",56.06,13.97,6234,204,-30,71,36,21,72.743057,7,19.11,164.5,71.525199,13.2213,1.18499994
"6412",56.0648,13.9707,6234,204,-30,71,36,21,72.743057,7,19.11,164.5,71.525199,13.2213,1.18499994
"6411",56.06,13.97,6234,204,-30,71,36,21,72.743057,7,19.11,164.5,71.525199,13.2213,1.18499994
"6087",56.4666,16.1284,6522,213,-31,61,31,22,80.493057,7,32.36,175.29,72.152702,13.2472,0.90100002
"6077",55.6942,13.4504,6189,203,-27,68,36,21,71.57222,8,15.83,156.8,71.525199,13.197999,1.17200005
"6076",55.6942,13.4504,6189,203,-27,68,36,21,71.57222,8,15.83,156.8,71.525199,13.197999,1.17200005
"6071",62.9308,18.3448,8652,206,-128,74,37,25,74.995834,6,43.9,96.62,86.811302,13.8688,1.39600003
"6069",62.9513,18.2763,8652,206,-128,74,37,24,74.995834,6,43.9,96.62,88.130798,13.8688,1.39499998
"6038",56.1,13.74,6245,203,-33,74,38,22,72.743057,7,19.11,164.5,71.525199,13.221899,1.26300001
"6036",56.1,13.74,6245,203,-33,74,38,22,72.743057,7,19.11,164.5,71.525199,13.221899,1.26300001
"6035",56.1,13.74,6245,203,-33,74,38,22,72.743057,7,19.11,164.5,71.525199,13.221899,1.26300001
"6034",56.1,13.74,6245,203,-33,74,38,22,72.743057,7,19.11,164.5,71.525199,13.221899,1.26300001
"6030",62.806,18.1896,8626,204,-126,76,39,24,74.995834,6,37.6,112.09,88.130798,13.7902,1.442
"6024",55.7509,13.3712,6160,202,-27,69,36,22,71.57222,8,17.9,158.41,71.525199,13.199299,1.17200005
"6021",56.06,14.29,6246,205,-27,69,34,21,70.53611,7,23.58,192.69,70.9589,13.2213,0.99800003
"6019",56.06,14.29,6246,205,-27,69,34,21,70.53611,7,23.58,192.69,70.9589,13.2213,0.99800003
"6017",62.9,18.4,8652,205,-128,74,37,25,74.995834,6,40.96,110.77,86.811302,13.8688,1.39600003
"6013",62.877,18.177,8592,205,-126,74,38,24,74.995834,6,37.6,112.09,88.130798,13.869099,1.39499998
"6012",62.877,18.177,8592,205,-126,74,38,24,74.995834,6,37.6,112.09,88.130798,13.869099,1.39499998
"6011",62.877,18.177,8592,205,-126,74,38,24,74.995834,6,37.6,112.09,88.130798,13.869099,1.39499998
"6010",62.877,18.177,8592,205,-126,74,38,24,74.995834,6,37.6,112.09,88.130798,13.869099,1.39499998
"5870",55.76,14.12,6129,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"5867",55.76,14.12,6129,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"5865",55.76,14.12,6129,198,-27,68,35,20,79.0625,8,20.22,181.7,70.9589,13.196999,1.05599999
"5860",62.6814,18.0165,8490,205,-121,77,40,24,74.995834,6,37.6,112.09,88.130798,13.7902,1.44200003
"5836",55.86,13.51,6204,201,-31,71,37,22,71.57222,8,17.22,157.62,71.525199,13.221899,1.24399996
"6231",62.96,18.2844,8689,201,-134,76,38,24,74.995834,6,43.9,96.62,75.657897,13.8688,1.39499998
"6212",63.0175,18.3239,8719,205,-131,74,37,24,66.597221,6,43.9,96.62,88.130798,13.8688,1.41400003
"6140",55.9392,13.5539,6195,200,-32,73,38,22,71.57222,8,17.22,157.62,71.525199,13.221899,1.24399996
"6138",55.9403,13.5511,6195,200,-32,73,38,22,71.57222,8,17.22,157.62,71.525199,13.221899,1.24399996
"6120",55.7,13.2,6173,202,-27,68,35,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.13800001
"6118",55.7,13.2,6173,202,-27,68,35,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.13800001
"6073",56.147363,15.814587,6429,209,-30,63,32,21,70.53611,7,25.57,168.04,71.765899,13.2213,0.956
"6022",56.06,14.29,6246,205,-27,69,34,21,70.53611,7,23.58,192.69,70.9589,13.2213,0.99800003
"6020",56.06,14.29,6246,205,-27,69,34,21,70.53611,7,23.58,192.69,70.9589,13.2213,0.99800003
"8227",62.7989,17.9103,8368,204,-120,74,38,24,68.158333,6,33.9,112.46,88.130798,13.7902,1.42799997
"8225",55.86,13.3103,6207,199,-33,72,37,22,71.57222,8,17.9,158.41,71.525199,13.222599,1.27999997
"8230",56.68,16.5,6552,212,-33,59,28,23,80.493057,7,26.59,173.87,72.491699,13.2472,0.84600002
"5856",63.0167,17.4914,8614,190,-148,78,38,24,67.784721,6,36.77,101.42,76.805603,13.869199,1.32700002
"8307",56.1,13.74,6245,203,-33,74,38,22,72.743057,7,19.11,164.5,71.525199,13.221899,1.26300001
"1409",62.8,18.2,8590,208,-122,74,38,25,74.995834,6,37.6,112.09,88.130798,13.7902,1.442
"6959",48.5,-1.41,4621,225,22,83,47,18,72.699997,9,3.96,230.53,80.978302,12.9238,1.05700004
"6961",38.3333,-3.53333,6838,342,19,68,5,48,99.941666,7,0.72,256.55,66.962303,12.637399,0.34
"6967",51.4083,-0.6383,5234,225,-3,71,43,14,65.756943,9,3.68,67.89,80.225196,13.020199,1.05900002
"6973",56.0648,13.9707,6234,204,-30,71,36,21,72.743057,7,19.11,164.5,71.525199,13.2213,1.18499994
"6974",56.0648,13.9707,6234,204,-30,71,36,21,72.743057,7,19.11,164.5,71.525199,13.2213,1.18499994
"6976",48.3,14.45,7178,244,-55,118,46,34,75.006943,8,20.09,197.26,78.406196,12.9236,1.20599997
"7516",55.58,14.334,6075,201,-19,62,32,21,79.0625,8,21.5,204.83,70.9589,13.196999,0.983
"6979",47.25,8.26,6186,219,-31,145,71,27,80.554169,8,17.79,205.29,82.862998,12.8872,1.77900004
"6980",52.3,30,9081,242,-100,87,30,34,73.808334,7,42.95,175.15,72.005599,13.0614,0.90799999
"6982",52.3,9.3,5967,217,-23,79,47,16,66.05278,8,15.29,180.36,77.041496,13.061499,1.26999998
"6985",49.3853,16.2544,6974,222,-59,87,30,40,74.837502,8,32.73,182.5,74.044799,12.961799,0.89600003
"6931",49.5,73.1,13022,270,-201,38,17,28,87.247223,11,101.52,108.04,62.739299,12.9623,0.34799999
"6043",62.801,18.079,8550,207,-122,74,38,25,74.995834,6,37.6,112.09,88.130798,13.7902,1.44200003
"6945",52.24,4.45,5232,205,2,87,44,21,76.09861,9,6.06,228.84,79.236999,13.061499,1.278
"7519",56.1509,15.7735,6444,212,-27,62,32,21,70.53611,7,25.57,168.04,71.765899,13.2213,0.956
"6960",48.5,-1.41,4621,225,22,83,47,18,72.699997,9,3.96,230.53,80.978302,12.9238,1.05700004
"6963",38.35,68.48,8389,360,-12,97,0,81,95.76667,4,6.67,241.92,75.222602,12.637399,0.465
"6965",58.4173,14.1576,6978,212,-69,70,31,27,70.440277,7,29.01,131.07,79.202598,13.3378,1.07700002
"6966",51.4083,-0.6383,5234,225,-3,71,43,14,65.756943,9,3.68,67.89,80.225196,13.020199,1.05900002
"6969",60,23.5,7905,214,-89,73,29,31,78.569443,7,56.17,159.86,76.535003,13.458499,1.16400003
"6971",41.7194,2.93056,5212,277,56,106,23,36,95.711113,10,0.12,271.82,73.542098,12.715499,0.72600001
"6975",48.3,14.45,7178,244,-55,118,46,34,75.006943,8,20.09,197.26,78.406196,12.9236,1.20599997
"7517",55.58,14.334,6075,201,-19,62,32,21,79.0625,8,21.5,204.83,70.9589,13.196999,0.983
"6978",52.3,21,7876,239,-60,70,22,39,71.326386,8,29.21,182.99,82.0251,13.061699,0.796
"6984",49.3853,16.2544,6974,222,-59,87,30,40,74.837502,8,32.73,182.5,74.044799,12.961799,0.89600003
"6903",49.4013,16.2326,6981,221,-59,88,30,40,74.837502,8,32.73,182.5,74.044799,12.961799,0.89600003
"6905",54.1,-6.2,3889,190,17,98,61,16,59.719444,9,2.63,189.2,83.420196,13.1281,2.33599997
"6916",58.3,25.3,8290,210,-92,74,28,30,72.199997,7,53.82,149.69,79.577301,13.338199,1.13600004
"8215",40.5,-8.32,4445,263,39,174,13,53,99.977776,9,0.22,321.08,71.351699,12.688699,1.00300002
"6046",62.801,18.079,8550,207,-122,74,38,25,74.995834,6,37.6,112.09,88.130798,13.7902,1.44200003
"6944",51.4083,-0.6383,5234,225,-3,71,43,14,65.756943,9,3.68,67.89,80.225196,13.020199,1.05900002
"6962",38.35,68.48,8389,360,-12,97,0,81,95.76667,4,6.67,241.92,75.222602,12.637399,0.465
"6968",60,23.5,7905,214,-89,73,29,31,78.569443,7,56.17,159.86,76.535003,13.458499,1.16400003
"6970",41.7194,2.93056,5212,277,56,106,23,36,95.711113,10,0.12,271.82,73.542098,12.715499,0.72600001
"8329",48,0.5,5391,241,2,69,50,11,75.354164,8,6.49,207.62,78.645896,12.905099,0.96100003
"7379",48.0333,7.7667,6433,251,-10,103,46,26,74.638886,9,11.54,140.74,82.327301,12.9054,1.17900002
"7080",40.12,-8.25,4636,298,57,133,9,53,99.977776,9,0.12,336.7,70.098602,12.6756,1.06200004
"7098",47,5,6355,253,-10,76,52,13,80.318054,9,10.58,206.83,81.966499,12.8694,1.02600002
"7158",47,15.5,7651,252,-66,123,31,43,82.701386,9,15.39,199.51,75.346702,12.8694,1.38
"7163",52.3721,9.73569,6089,222,-22,73,39,18,66.05278,8,16.61,176.57,81.538696,13.0614,1.09899998
"7165",51.3472,8.28844,5857,212,-22,90,60,12,66.27639,8,15.3,152.06,77.766899,13.0207,1.35000002
"7340",49.1833,15.8833,6993,226,-57,88,32,38,73.756943,8,31.45,184.14,75.014999,12.942399,0.84299999
"7372",47.0748,9.9042,6544,224,-55,132,57,27,80.554169,7,68.58,126.54,82.327697,12.8694,1.55999994
"7394",52.3,21,7876,239,-60,70,22,39,71.326386,8,29.21,182.99,82.0251,13.061699,0.796
"281",46.6667,4.11667,6050,246,-6,81,49,17,80.318054,9,8.52,184.64,81.849998,12.8695,0.963
"8258",56.4,12.9,6325,193,-51,88,41,24,72.743057,8,18.07,175.14,73.033798,13.2475,1.39699996
"8259",56.4,12.9,6325,193,-51,88,41,24,72.743057,8,18.07,175.14,73.033798,13.2475,1.39699996
"8290",50,8.5,6552,243,-22,66,37,18,74.673615,9,17.46,196.89,83.736,12.981499,0.81699997
"8270",47.5,7.5,6226,241,-11,101,52,22,78.190277,8,10.71,187.6,82.952903,12.8872,1.37899995
"8285",49.4112,16.2815,6981,222,-59,87,30,40,74.837502,8,32.73,182.5,74.044799,12.961799,0.89600003
"6016",62.9,18.4,8652,205,-128,74,37,25,74.995834,6,40.96,110.77,86.811302,13.8688,1.39600003
"8423",56.1,13.74,6245,203,-33,74,38,22,72.743057,7,19.11,164.5,71.525199,13.221899,1.26300001
"8237",55.8,13.1,6171,202,-28,69,35,22,71.57222,8,20.43,171.37,71.894096,13.199299,1.09599996
"6040",55.66,13.4,6124,197,-31,70,37,21,71.57222,8,16.05,154.32,71.525199,13.197999,1.11800003
"6064",62.9513,18.2763,8652,206,-128,74,37,24,74.995834,6,43.9,96.62,88.130798,13.8688,1.39499998
"6957",49.42,16.36,7083,227,-57,85,28,41,74.837502,8,32.73,182.5,74.044799,12.961799,0.85799998
"8369",55.6942,13.4504,6189,203,-27,68,36,21,71.57222,8,15.83,156.8,71.525199,13.197999,1.17200005
"8247",56.07,13.74,6247,202,-33,74,38,21,72.743057,7,19.11,164.5,71.525199,13.221899,1.26300001
"8426",56.06,13.97,6234,204,-30,71,36,21,72.743057,7,19.11,164.5,71.525199,13.2213,1.18499994
"9058",57.75,16.6333,6700,216,-41,60,26,24,76.534721,7,23.43,189.76,74.801803,13.3035,0.92199999
"8249",57.7,15.8,6781,211,-54,67,31,23,69.29583,7,24.61,158.64,70.866798,13.304599,1.005
"9057",56.1,13.9167,6252,205,-30,72,36,21,72.743057,7,19.11,164.5,71.525199,13.221899,1.18499994
"7139",50.5,8.0167,6157,227,-19,67,44,13,68.24028,8,21.41,178.03,78.404098,13.0009,0.93900001
"7307",48.0653,-2.96591,4304,211,30,105,45,27,73.429169,15,3.46,245.92,79.984199,12.9053,1.35699999
"7331",51.6832,10.2144,6164,217,-31,82,45,20,66.611115,8,17.53,159.45,78.231201,13.040599,1.53299999
"7337",50.8738,8.02341,5980,217,-21,81,54,12,68.24028,8,21.24,155.28,78.404098,13.0009,1.23800004
"7378",48.0333,7.7667,6433,251,-10,103,46,26,74.638886,9,11.54,140.74,82.327301,12.9054,1.17900002
"7405",52.6,10.0667,6136,227,-21,71,38,19,66.222221,8,16.97,167.14,79.736099,13.082799,1.08800006
"66",48.2667,-4.58333,3562,199,38,141,48,32,82.281944,15,0.9,305.21,80.650299,12.905099,1.63999999
"149",48.5167,-4.06667,3780,199,32,134,47,31,82.281944,15,1.21,267.01,80.650299,12.9236,1.62600005
"328",46.6667,4.11667,6050,246,-6,81,49,17,80.318054,9,8.52,184.64,81.849998,12.8695,0.963
"334",46.6667,4.11667,6050,246,-6,81,49,17,80.318054,9,8.52,184.64,81.849998,12.8695,0.963
"5753",54.7,-2.7,4579,189,-8,102,55,20,60.227779,8,9.35,162.33,80.364997,13.1538,1.76199996
"7000",50.9167,9.57073,6299,216,-37,83,46,18,68.24028,8,15.57,183.88,79.3404,13.0003,1.20099998
"6989",54.8,-2.4333,4522,177,-18,112,67,18,60.227779,7,10.47,166.61,79.546699,13.178999,4.22300005
"7031",50.0167,8.6667,6474,246,-22,71,41,16,68.24028,9,17.38,197.01,79.9151,12.980999,0.90100002
